queue,property_id,property_name,city,state,url,open_status,known_year,blank_rows,row_count
fully_blank,2b4b9efd-e1b1-4c32-bc9c-04a02358a2fb,22 West Cabins & Recreation,Walden,CO,https://22west.net/en/moose-haven-cabin-22-west,open,,2,2
fully_blank,bfe27649-7d1e-4e4c-8aec-2cde8a83c1a3,Alexander's Lodge Yurts,Ashford,WA,https://alexanderslodge.com/,open,,1,1
fully_blank,dc56af74-f2b0-43af-a5b4-d2c577a16ac9,Ancient Lore Village,Knoxville,TN,https://www.ancientlorevillage.com/,open,,1,1
fully_blank,aa305e34-fa76-4d0d-88e3-b2c37c68c1e2,Ashland Glamping,Ashland,NE,https://www.ashlandglamping.com/vacation-rentals-homes/172953-modern-dome-or-ashland-glamping/,open,,9,9
copy_forward,527a6ccc-49aa-4038-9e4d-31f7b2f95408,AutoCamp Asheville,Asheville,NC,https://autocamp.com/location/asheville/,open,2012,1,2
fully_blank,519865e7-df19-4356-a854-b4ca89b90e3b,Avalanche Ranch,Redstone Historic District,CO,https://avalancheranch.com,open,,2,2
fully_blank,1e2bbd94-4bcd-4ad6-8dcd-7f3d9106b6e5,Basecamp Resort,Ingram,TX,https://basecampresort.com/,open,,1,1
fully_blank,0a070e3f-7887-4590-920c-35401efed1ee,Bear Woods Resort and Campground,Bear Lake,MI,https://bearwoodsresort.com/,open,,2,2
fully_blank,55c34eed-a302-45c7-b081-5852df69adb4,Bel Air Asheville,Black Mountain,NC,https://belairasheville.com/,proposed,,1,1
fully_blank,822b300d-553b-4169-a6a1-f460b5858c9d,Bentonville Bike Camp,Bentonville,AR,https://www.hipcamp.com/en-US/land/arkansas-bentonville-bike-camp-pw1h1v65,open,,3,3
fully_blank,a6a4956b-e4eb-4e5e-8d47-f091395afc68,Bespoke Outdoor Bubbles,Cleveland,TX,https://bespokeoutdoorbubbles.com/blissful-bubble-dome/,open,,4,4
fully_blank,73b983a9-3b09-47f7-9799-23da76458749,Bison Creek Ranch,East Glacier,MT,https://bisoncreekranch.com,open,,2,2
fully_blank,cfadc6b0-905b-4d01-ac51-1e5f8efcd3c6,Bliss Camps Glamping (Rocky Mountain Glamping),Lyons,CO,https://blisscamps.com/,open,,7,7
