property_id,property_name,city,state,url,reason
2b4b9efd-e1b1-4c32-bc9c-04a02358a2fb,22 West Cabins & Recreation,Walden,CO,https://22west.net/en/moose-haven-cabin-22-west,missing_quote
bfe27649-7d1e-4e4c-8aec-2cde8a83c1a3,Alexander's Lodge Yurts,Ashford,WA,https://alexanderslodge.com/,missing_quote
dc56af74-f2b0-43af-a5b4-d2c577a16ac9,Ancient Lore Village,Knoxville,TN,https://www.ancientlorevillage.com/,missing_quote
aa305e34-fa76-4d0d-88e3-b2c37c68c1e2,Ashland Glamping,Ashland,NE,https://www.ashlandglamping.com/vacation-rentals-homes/172953-modern-dome-or-ashland-glamping/,missing_quote
519865e7-df19-4356-a854-b4ca89b90e3b,Avalanche Ranch,Redstone Historic District,CO,https://avalancheranch.com,missing_quote
1e2bbd94-4bcd-4ad6-8dcd-7f3d9106b6e5,Basecamp Resort,Ingram,TX,https://basecampresort.com/,missing_quote
0a070e3f-7887-4590-920c-35401efed1ee,Bear Woods Resort and Campground,Bear Lake,MI,https://bearwoodsresort.com/,missing_quote
822b300d-553b-4169-a6a1-f460b5858c9d,Bentonville Bike Camp,Bentonville,AR,https://www.hipcamp.com/en-US/land/arkansas-bentonville-bike-camp-pw1h1v65,quote_does_not_name_property
a6a4956b-e4eb-4e5e-8d47-f091395afc68,Bespoke Outdoor Bubbles,Cleveland,TX,https://bespokeoutdoorbubbles.com/blissful-bubble-dome/,missing_quote
73b983a9-3b09-47f7-9799-23da76458749,Bison Creek Ranch,East Glacier,MT,https://bisoncreekranch.com,missing_quote
cfadc6b0-905b-4d01-ac51-1e5f8efcd3c6,Bliss Camps Glamping (Rocky Mountain Glamping),Lyons,CO,https://blisscamps.com/,missing_quote
f8a24d87-aebc-4a05-83b4-5d7124519036,Blue Bear Mountain Camp,Todd,NC,https://www.bluebearmountain.com/,missing_quote
59790cc9-1d9e-4273-8b79-b9f1423f07e4,Blue Moon Rising,McHenry,MD,https://bluemoonrising.org,missing_quote
00a9b25b-2a69-4690-8a4d-35765840b953,Boonies Farm,Worden,IL,https://www.booniesfarm.com/,missing_quote
014c6750-6123-4fcd-9ebe-cef01111852b,Branson Treehouse Adventures,Branson,MO,https://www.bransontreehouseadventures.com,missing_quote
6748d0d0-0c7e-4fdb-987e-53d0f877b796,Bristol Cabins,Lava Hot Springs,ID,https://bristolcabins.org,missing_quote
aaebc816-80e3-404e-9743-102330ee5ae0,Bubble Terlingua,Study Butte,TX,https://basecampterlingua.com/bubble-terlingua/,missing_quote
b11f6f6b-f6f1-435c-bfe1-83d1c39efede,Callicoon Hills,Callicoon Center,NY,https://callicoonhills.com/stay/,missing_quote
0ed65a3c-274b-4274-b8dd-ef394dfce9f7,Cameron Ranch Glamping - Bastrop,Bastrop,TX,https://cameronranchglamping.com/,missing_quote
3e76d1cd-aae2-4602-b110-ba4c6ab0df98,Cameron Ranch Glamping - Coldspring,Coldspring,TX,https://cameronranchglamping.com/listing/ood-texas-mirror-house-houston/,missing_quote
51a8f391-1dc7-4d7e-9e60-d4c80cafbd41,Camp Dakota,Scotts Mills,OR,http://www.campdakota.com/,campground_opening_not_glamping
5d8aad98-a289-4099-a76d-bdba8658a7ab,Camp Elena,Terlingua,TX,https://www.campelena.com/,missing_quote
b807577b-d4c3-45bc-9ec0-6a86d2898b6d,Camp Ferncrest - Acadia,Sargentville,ME,https://campferncrest.com/,missing_quote
d564e53c-466e-4871-80b5-a2c521b50709,Camp Ferncrest - Flint Creek,Colcord,OK,https://campferncrest.com/,missing_quote
7a0264e1-934d-407d-969c-764acd15bca4,Camp Ferncrest - Promised Land,Greentown,PA,https://campferncrest.com/,missing_quote
